ItemCode,ItemName,ManufacturerName,ItemPrice,Quantity,UnitOfMeasure
7290000068,"במבה אסם - חטיף בוטנים","אסם",4.90,1,unit
7290000066097,"שוקולד עלית - חלב","שטראוס",5.50,1,unit
7290000171504,"חלב תנובה 3%","תנובה",6.20,1,liter
7290000173003,"קוטג' תנובה 5%","תנובה",5.90,250,gram
7290005772139,"ביסקוויטים תלמה - עוגיות תה","אסם",7.90,1,unit
7290000062013,"חומוס אחלה","אחלה",8.90,400,gram
7290111333996,"טחינה מעולה","הר ברכה",12.90,500,gram
7290006533913,"פיתה מלאה","אנג' ל",9.90,6,unit
7290000292809,"שמן זית","רמדיה",24.90,500,ml
7290000066722,"שוקולד פרה - חלב ואגוזים","שטראוס",6.90,1,unit